name,wikidata
Gabriela y Dorts,
Gasrieta Misrrat,
Rostyn Harsor,
Nada de embajadora,
Tad,
Ee,
Fuiste,
Pepe Bianco,
Enrique Pezzoni,Q10934058
Antoni López i Llausàs,Q19289742
Ella y los,
Esperé,
Pedi una Biblia,
Algunos,
Lo,
Cletto,
Tan querida,
Tu siempre,
Ugan,
J Shas,
Roger,
Querida Gabriela:,
Victoria,
Querida Gabriela:,
Hoe Aur,
Julián Martínez,Q5956131
Se los diré,
Lorie,Q258693
Vicente López,Q2521975
Martinez,
San Isidro,
Mucho,
Gabriela Mistral,Q80871
como Io Ee,
Jerónimo Remorino,Q1688025
Nehru,
Eso es todo,
Pide al,
Boer Asuntos,
La suya -la,
Tu Gabriela,
Ezequiel Martínez Estrada,Q464737
Rojas y Fernandez Moreno,
Keyserlig en mis,
Ultimas,
San IstpRo,
Igor Stravinsky,Q7314
ya Perséphone,
Querida Gabriela,
Hasta que,
Fl,
Queridas Gabriela,
Rostyn,
Cara Victoria,
Tenla,
Esta Aménicg Nesp,
Imago Mundi,
Victori4,
Bae,
Querida Votoya,
Saludos de la,
Gilda Péndola,
Recitacién de,
Stéphane Mallarmé,Q767
አርተር ራምቦ,Q493
Esta Améric,
NUES Tay,
Alicia Moreau,
Raul Mign,
Justo (unica,
Y el Ministro,
Te'abrazo,
Hasta el lunes,
Pero Nudelman,
Mi muy,
Margaret Bates,
Pero Borges,
Ainsi va le mon,
Embajador de,
aham Greene,
Thomas,
Camus,
William Faulkner,Q38392
Dylan,
San Martin,
Felicidad Abrazo,
Brett,
Sino,
Vic tori,
Jase,
Fani Pacheco,Q59307128
Le dije,
Al dia,
Aurelio,
Pero Aurelio,
Esto,
Se,
Ricardo Baeza,
Queridos Angélica,
Pancha y Pepe,
Louise,
Victoria K,
ron,
Pepe Weisberger,
Sylvia Marlowe,Q7660958
al Waldorf,
José Bianco,Q1709049
Gabriela Mistral,Q80871
Novios,Q11793322
Albert Camus,Q34670
Margarida Xirgu,Q296806
Sefiora Margarita Xirgu,
Fondo Camus,
George Bernard Shaw,Q19185
Federico,
Federico García Lorca,Q41408
Alejandro Casona,Q289215
Sorprendida por la Guerra,
Hakan Allı,Q88805363
Albert Camus,Q34670
Robert Rossen,Q433113
Sobre Guillermo de Torre,
Aurora Bernárdez,Q10857831
Victoria Ocampo™,
Zlan de Belewale,Q16683986
Jean-Paul Sartre,Q9364
Huis Clos,
Onutnec,
Stent ay cosa,
Peut-ttre,
J'ai ainé,
Nhat Gag,
Ocampo,
Martin,
Querida Victoria:,
Nino,
Albert Camus a Victoria Ocampo,
Les Moutiers,
Eme-,
Itaron,
Llame,
Sr. Mascolo',
de André Gide,
Jean,
Adolfo Bioy Casares,Q298035
Silvina Ocampo,
Thomas Edward,
Stéphane,
Arnold Walter Lawrence,Q4647445
Roger Worms,
Roger Stéphane,Q3439475
Marcel Proust,Q7199
Stendhal,Q502
René Etiemble,Q459586
Edmond Charlot,Q3047784
Fue alumno de Jean Grenier,
Les Brefs,
Tomé las vitaminas,
Charlot al actuar,
En agosto de 1941,
Sébastien Bottin,Q3509971
Paria,
Buenos Ayres,
Madane Victoria Otanpo,
Alain Séris,Q50287850
Albert Camas,
Maddése Victoria Ocarpo,
Lis,
Roger Caillois,Q430765
Jamas,
Carino,
Georges Bataille,Q207359
Victoria Ocampo3s,
Al dorso,
Rue Séguier,
Anna Montero i Bosch,Q19997814
David,
Sganarelle,
Pero tal vez,
Taiz de sy,
Giedyee,
Suzanne Agnely,Q130603240
Senora,
Paul Gallimard,Q15449831
Junto con Tirso de Molina,
Victoria Ocampoj,
Firmin,
Firmin Gémier,Q1132691
Maria también,
La abrazo,
Victoria Ocampo,Q72790
Villa Ocampo,
Marie de Raboutin-,
Francoise Marguerite,
Albert Camus,Q34670
Hasta,
Albert,
Roger,
Quilliot,
Rafael Arag6,
Roberto Weibel Richard,
Guillaume Georges-Picot,Q11985001
Diario de viaje,
Rafael Alberti,
el Premio Cervantes,
de Federico Garcia Lorca,
Jorge Guillén,
Maria Teresa Leén,
Pero solamente confio,
De todo corazon,
Hermann Alexander,
Keyserling,
Wilde,
Oscar Wilde,
Ed,
Oscar,
Wilde,
Fue publicada por Gallimard,
Louis Germain,
Caligula,Q1409
Dorian Gray,
Pero es lo,
Seguin,
Mateo Schapire,
Short Sandringham,
de Calderon,
Cruz,
Pedro Calderón de la Barca,Q170800
Jeff Bates,Q6173315
Francisco Romero,
Alejandro,
Korn,
Fue discipulo de Ortega,
Volvié,
Pierre Brisson,Q3384200
Véase,
Rafael Aragé,
Richard,
Después los,
Tendria,
Buenos,
Ayres,
sor,
De alli,
Ver Andreu,
Caravelle,
nvio mis recue,
Villa Ocampo,
Querido Camus,
Cuatro de las dirigidas,
en el,
Gran Rex,
De,
Cartas,
Véase Paz Leston,
Luther H. Evans,Q936897
Andrew Huxley,Q104607
Premio Nobel,
Trabajamos,
Graham Greene,Q311169
Rosa Chacel,Q468852
de Victoria,
Albert Camus,Q34670
S. Agnély,
Les Justes',
Gustave Flaubert,Q43444
Vladimir Nabokov,Q36591
Beauvoir,Q61107101
Ray Bradbury,Q40640
De Sd,
Albert Camus,Q34670
Querido Camus:,
William Faulkner,
William Faulkner,Q38392
Tradujo obras de John dos Passos,
D.H.,
Lawrence,
Christopher Wren,Q170373
Margarita Xirgu'®®,
Ani,
Loos,
Viene,
Rae,
Pere,
Partié al exilio,
Desde N,
Louise Crane,
Embajador,
SEn Castellano,
Esperamos que sea posib,
Son Memorias,
Lopez Llausas,
Pero como el,
Isidro,
EstA,Q15808691
Pregunté,
AHI,Q61748915
Victoria Ocampo a Albert Camus,
Cuando Camus,
de Hitler,
T. S. Eliot,Q37767
Jean-Paul Sartre,Q9364
Pablo Neruda,Q34189
Pablo Neruda,Q34189
Nicol4s Guillén,
Jorge Amado,Q184440
Juan Marinello,Q4281482
Recibié el Premio Stalin,
Jean Panthon,
Jacques Rivière,Q508632
Gaston,
Silencio,
Marcel Arland,Q59076
María Casares,Q270834
de Juan Domingo Perén,
Singh,
Iqbal,
Véase Dyson,
Ketaki,
Kushari,
Sahitya Akademi,
Mahatma Gandhi,Q1001
Depositarlo en un,
Albert Camys2s,
Coleccién Catherine et,
Jean Camus,Q47519771
Fondo Albert Camus,
du Livre,
Guy de Rothschild,Q1379005
Friedrich Nietzsche,Q9358
Arthur Koestler,Q78494
Arthur Koestler,Q78494
Arthur Koestler,Q78494
Recibi L’Artiste en Prison'?°,
Esto puede ser,
Paul Valéry,Q200639
Fue publicado recién,
Oscar Wilde,Q30875
Véanse,
Henri Bergson,Q42156
William Hazlitt,
Paul Valéry,Q200639
Roger le contara,
Jean-Louis Barrault,
Quedo,
Lawrence y que Victoria,
Malraux Ilamaba,
Lo que,
Camus,
Meyers,
Jeffrey,
André Malraux,Q151164
Francine Camus,
Albert Camus,Q34670
Jean Marx,Q35123464
Jacques Maritain,Q45723
Jehan Munky,
Jean Peal Sauer,
Gray Lectarw,
Francis Jeanson,Q3081521
Véase,
Stina Aronson,Q517360
Ronald,
William Shakespeare,Q692
Tonto,
Agregado al margen,
sDonde,
Colin Wilson,Q368831
sobre Gurdjieff,
Jorge Luis Borges,Q909
Autobiografia III,
Julio Schvartman,
Querida Victoria,
Saludos,
V. W.,
Suya,
Virginia Long Bailey,Q21505555
Dando,
Virginia Woolf,Q40909
Pero ahora responderé,
Monk,
¢recuer,
Suya,
Virginia Woolf,Q40909
Siegfried Susser,Q276989
Sobre V. Sackville,
Pero el mejor,
Vita Sackville-West,Q235505
Pepita,
Aho-,
e,
Estoy,
sam,
Sun Ra,Q354508
Pero Londres,
Francis,
Birrell,
Huxley,
Victoria Okampo,
Todavia,
Sueno,
Virginia Woolf,Q40909
Llueve,
Saludos,
V. W.,
Martes,
Suya,
V. W.,
Suya,
V.W.,
Querida sefiora Okampo,
Suya,
Virginia Woolf,Q40909
Miercoles,
Seriamos Leonard,
Rodmell,
Otra,
Freund,
Giselle,
Segunda,
Trocadero,
Victoria volvié,
Igor Stravisnky,
Jaime de Marichalar,Q726890
Martes por la,
Querida Virginia,
Anna de Noailles,Q6050
Anna Elisabeth de Brancovan,
Veo,
Anna de Noailles,Q6050
Odio,
Mansfield,
«je Ke,
Hermann von Keyserling,Q60690
Marcel Proust,Q7199
Marcel Proust,Q7199
Cinq heures du matin,
Avez,
Antoine Dieu,Q2853870
Traduccion,
Querido Ortega:,
Joie,
Blaise Pascal,Q1290
Connaly- ti,
Tevista que atin,
Si esa América,
jAleprj,
Alegria,
de Hermann Graf Keyserling,
Waldo Frank,Q1858007
Frank,
Séptima Serie,
Airy Frank,
Lo que dices,
Bernardez,
Leopoldo Marechal,Q1819994
José Ortega y Gasset,Q153020
Nuestro Borges,
Jorge Luis Borges,Q909
Francisco Lui,
Tenia necesidad de hablar,
Quiero,
Odéon,
Maurice Ravel,Q1178
Valery Larbaud,Q135640
Tôn Đức Thắng,Q724317
Mentir,
Ayer volvi,
Me volvi,
Aires,Q117452983
Lo que pu,
Aires,Q117452983
Pero desgraciadamente,
Querido Ortega,
Alejandro Bustillo,Q4714498
Julio A,
Rio Negro,
Araucarias,
A. J. Ayer,Q243757
Traduccion,
Miércoles,
Maria de Maeztu Whitney,Q6761698
Sobre,
José Ortega y Gasset,Q153020
Serrano,
Cher ami,
Dou-,
tez,
Victoria,
Traducci6n,
José Ortega y Gasset,Q153020
Munilla,
Portuno,
Pero el hecho,
Maria esta bien,
Miércoles,
Allez-vous,
Elle,
Traduccio6n,
Calma mi sed,
Soledad sonora,
Gasset a Maria de Maeztu,
Mad,Q3275117
Gregorio Marañón,Q708559
Eu-,
Rafael Alberti,Q118936
Pedro Salinas,Q379789
Louis Aragon,Q4128
Paul Claudel,Q295830
Mi querido Ortega,
Autobiografia rv,
Manuel Ocampo,Q5248733
Mealegra Cient,
Mar del Plata,
Gregorio Marafién,
Ramón Pérez de Ayala,Q727717
Belicg Ocampo,
Muy querido Ortega,
Hablamos de Frank,
Mariano de Vedia,Q133626068
de Waldo Frank,
Paula Nenette Pepin,Q9057066
Javier Rodríguez,Q134567585
Cela memplit de méla,
Alfonso Reyes,Q462721
los Gonzalez,
Alfonso Reyes-Victoria Ocampo,
Sebastián Pineda Buitrago,Q6122968
Gasset-Alfonso,
Reyes,
Lia Sansinena de Galvez,
Marguerite Moreno,Q3290728
Autobiografia 11,
Maria Esther Sansinena,
Lia,
Fernando Elizalde,
Alfredo Gonzalez Garafio,
Ricardo Giiiraldes,
Oliverio (Paco) Pulido Rodríguez,Q108054769
Girondo,
Delia,
Octava Serie,
Maria Magdalena Bengolea de Sanchez Elia,
Martin Sénéchal,Q87947765
Hans Adolf Eduard Dy,
Drie,
Traducciéy,
Gabriele D'Annunzio,Q193236
Claude Debussy,Q4700
Alguna,
Gerenat Sista,
Cette,
Farfullé,
Je ne vois,
Olre,
Coué,
Grandi,
Émile Coué,Q275040
Junio 20/29,
Drieu,
Véase James Buresh,
Jean-Michel Frank,Q262273
Pero al vol-,
Mon cher Ortega,
Ravie de vous,
Desesperada por mi,
Aa,
Victoria,
Diciembre de 1950,
Orges,
André Malraux,Q151164
Julien Benda,Q155270
Mardi matin,
Martes,
Edicion,
Consultada,
Manuel José Quintana,Q380792
Hay que saber esperar,
Gregorio Marafidn,
José Martínez Ruiz,Q443403
Ramón Pérez de Ayala,Q727717
Pío Baroja,Q220980
Desde hace,
Gasset-Helene Weyl,
Gesine Märtens,Q79278753
Maria Isabel Petia Aguado,
Osha,
Paul Hazard,Q462281
Helene Weyl,Q1169065
José,Q109781247
Ortega,
José Ortega Spottorno,Q3815096
Los Ortega,
Ramon,
Ramon Gomez,
Oliverio Girondo,Q1728777
Norah Lange,Q532041
Manuel García Morente,Q3817940
Siadg,
Lees,
Estudias,
Piensas,
Charles Péguy,
Nota,
Pero ya Paris,
Pasan,
José Ortega y Gasset,Q153020
Maria de Maetzu,
Tuya,Q270381
Ludwig Salgo,Q1874939
Julio 1917,
Victoria Ocampo,Q72790
Julian Martinez Estrada,
Je obliga,
Hubo,
Cabe,
Leonardo Vinci,Q29577
Verdad es que,
Francisco Assis Santos Soares,Q64831810
Al Espectador,
Vergara Biedma,
Jabor de difusin,
José Luis Rodríguez Alonso,Q43402593
Ramón Gómez de la Serna,Q444893
Le Corbusier,Q4724
Paul Morand,Q272
Ta Gioconda,
presso la Giocon,
Pate,
Maurice Maeterlinck,Q49747
Isolina G. de Zubiaurre,
Isolina Gallego,
Julia,
Valentin de Zubiaurre,
José Ortega y Gasset,Q153020
Su Ortega,
Véase,
"Honoré Gabriel Riqueti, comte de Mirabeau",Q218747
José Ortega y Gasset,Q153020
JOG al,
Ddes,
Kushay Dynes,
Serrano 47,
Querida Victoria:°,
Masas,
Asunto Intendente,
Sabado 28 de Octubre,
Estoy,
Ramón Pérez de Ayala,Q727717
Ramón Pérez de Ayala,Q727717
Aunqut,
Francesco Durante,Q314221
Sobre},
Paris Xve,
Maria Dolores Gasset,
Chi la,
Dolores Gasset,
Gregorio Marafién.,
Perséphone de travinsk,
Joe 34,
Luego,
Rafael Vehils,Q11219893
Adolf Hitler,Q352
